name,site_type,link,unique_id,gallery_url,picture_url
Historic Centre of Lima,cultural,https://whc.unesco.org/en/list/500,500,https://whc.unesco.org/en/list/500/gallery,https://whc.unesco.org/uploads/thumbs/site_0500_0011-1200-630-20151105151550.jpg
Río Abiseo National Park,mixed,https://whc.unesco.org/en/list/548,548,https://whc.unesco.org/en/list/548/gallery,https://whc.unesco.org/uploads/thumbs/site_0548_0002-1200-630-20241107162546.jpg
Lines and Geoglyphs of Nasca and Palpa,cultural,https://whc.unesco.org/en/list/700,700,https://whc.unesco.org/en/list/700/gallery,https://whc.unesco.org/uploads/thumbs/site_0700_0023-1200-630-20251211170858.jpg
Historical Centre of the City of Arequipa,cultural,https://whc.unesco.org/en/list/1016,1016,https://whc.unesco.org/en/list/1016/gallery,https://whc.unesco.org/uploads/thumbs/site_1016_0014-1200-630-20251211170946.jpg
Sacred City of Caral-Supe,cultural,https://whc.unesco.org/en/list/1269,1269,https://whc.unesco.org/en/list/1269/gallery,https://whc.unesco.org/uploads/thumbs/site_1269_0014-1200-630-20251212093921.jpg
"Qhapaq Ñan, Andean Road System",cultural,https://whc.unesco.org/en/list/1459,1459,https://whc.unesco.org/en/list/1459/gallery,https://whc.unesco.org/uploads/thumbs/site_1459_0020-1200-630-20170322164215.jpg
Chankillo Archaeoastronomical Complex,cultural,https://whc.unesco.org/en/list/1624,1624,https://whc.unesco.org/en/list/1624/gallery,https://whc.unesco.org/uploads/thumbs/site_1624_0006-1200-630-20190321115820.jpg
Baroque Churches of the Philippines,cultural,https://whc.unesco.org/en/list/677,677,https://whc.unesco.org/en/list/677/gallery,https://whc.unesco.org/uploads/thumbs/site_0677_0030-1200-630-20251121113328.jpg
Tubbataha Reefs Natural Park,natural,https://whc.unesco.org/en/list/653,653,https://whc.unesco.org/en/list/653/gallery,https://whc.unesco.org/uploads/thumbs/site_0653_0001-1200-630-20151105151756.jpg
Rice Terraces of the Philippine Cordilleras,cultural,https://whc.unesco.org/en/list/722,722,https://whc.unesco.org/en/list/722/gallery,https://whc.unesco.org/uploads/thumbs/site_0722_0002-1200-630-20151105152106.jpg
Historic City of Vigan,cultural,https://whc.unesco.org/en/list/502,502,https://whc.unesco.org/en/list/502/gallery,https://whc.unesco.org/uploads/thumbs/site_0502_0008-1200-630-20140415173651.jpg
Puerto-Princesa Subterranean River National Park,natural,https://whc.unesco.org/en/list/652,652,https://whc.unesco.org/en/list/652/gallery,https://whc.unesco.org/uploads/thumbs/site_0652_0001-1200-630-20151105151728.jpg
Mount Hamiguitan Range Wildlife Sanctuary,natural,https://whc.unesco.org/en/list/1403,1403,https://whc.unesco.org/en/list/1403/gallery,https://whc.unesco.org/uploads/thumbs/site_1403_0007-1200-630-20220930155131.jpg
Historic Centre of Kraków,cultural,https://whc.unesco.org/en/list/29,29,https://whc.unesco.org/en/list/29/gallery,https://whc.unesco.org/uploads/thumbs/site_0029_0019-1200-630-20151105151946.jpg
Wieliczka and Bochnia Royal Salt Mines,cultural,https://whc.unesco.org/en/list/32,32,https://whc.unesco.org/en/list/32/gallery,https://whc.unesco.org/uploads/thumbs/site_0032_0024-1200-630-20160810112618.jpg
Auschwitz BirkenauGerman Nazi Concentration and Extermination Camp (1940-1945),cultural,https://whc.unesco.org/en/list/31,31,https://whc.unesco.org/en/list/31/gallery,https://whc.unesco.org/uploads/thumbs/site_0031_0009-1200-630-20120809180203.jpg
Białowieża Forest,natural,https://whc.unesco.org/en/list/33,33,https://whc.unesco.org/en/list/33/gallery,https://whc.unesco.org/uploads/thumbs/site_0033_0007-1200-630-20260219151705.jpg
Historic Centre of Warsaw,cultural,https://whc.unesco.org/en/list/30,30,https://whc.unesco.org/en/list/30/gallery,https://whc.unesco.org/uploads/thumbs/site_0030_0008-1200-630-20160810112616.jpg
Old City of Zamość,cultural,https://whc.unesco.org/en/list/564,564,https://whc.unesco.org/en/list/564/gallery,https://whc.unesco.org/uploads/thumbs/site_0564_0003-1200-630-20140415104947.jpg
Castle of the Teutonic Order in Malbork,cultural,https://whc.unesco.org/en/list/847,847,https://whc.unesco.org/en/list/847/gallery,https://whc.unesco.org/uploads/thumbs/site_0847_0030-1200-630-20151105151921.jpg
Medieval Town of Toruń,cultural,https://whc.unesco.org/en/list/835,835,https://whc.unesco.org/en/list/835/gallery,https://whc.unesco.org/uploads/thumbs/site_0835_0010-1200-630-20130715144349.jpg
Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,cultural,https://whc.unesco.org/en/list/905,905,https://whc.unesco.org/en/list/905/gallery,https://whc.unesco.org/uploads/thumbs/site_0905_0001-1200-630-20151105152003.jpg
Churches of Peace in Jawor and Świdnica,cultural,https://whc.unesco.org/en/list/1054,1054,https://whc.unesco.org/en/list/1054/gallery,https://whc.unesco.org/uploads/thumbs/site_1054_0002-1200-630-20140415105357.jpg
Wooden Churches of Southern Małopolska,cultural,https://whc.unesco.org/en/list/1053,1053,https://whc.unesco.org/en/list/1053/gallery,https://whc.unesco.org/uploads/thumbs/site_1053_0016-1200-630-20130715153817.jpg
Muskauer Park / Park Mużakowski,cultural,https://whc.unesco.org/en/list/1127,1127,https://whc.unesco.org/en/list/1127/gallery,https://whc.unesco.org/uploads/thumbs/site_1127_0017-1200-630-20260121121819.jpg
Centennial Hall in Wrocław,cultural,https://whc.unesco.org/en/list/1165,1165,https://whc.unesco.org/en/list/1165/gallery,https://whc.unesco.org/uploads/thumbs/site_1165_0007-1200-630-20151104123952.jpg
Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe,natural,https://whc.unesco.org/en/list/1133,1133,https://whc.unesco.org/en/list/1133/gallery,https://whc.unesco.org/uploads/thumbs/site_1133_0076-1200-630-20251103122935.jpg
WoodenTserkvasof the Carpathian Region in Poland and Ukraine,cultural,https://whc.unesco.org/en/list/1424,1424,https://whc.unesco.org/en/list/1424/gallery,https://whc.unesco.org/uploads/thumbs/site_1424_0018-1200-630-20241211163741.jpg
